predictor,physical_type,earliest_entry_stage,canonical_model_representation,model_entry_mode,publication_status,publication_value_source,publication_representation,inferential_role,binary_semantic_status,reference_label,comparison_label,clinical_unit,native_unit,reporting_unit,continuous_unit_scale,reference_level,category_order,raw_code_to_publication_label,functional_form_status,source_of_decision,needs_clinical_signoff,reason
endo_resection_lesion,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
Fetus_Anamoly,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 = documented fetal problem vs value 0 = no documented fetal problem",BINARY,EXPLICITLY_DOCUMENTED,value 0 = no documented fetal problem,value 1 = documented fetal problem,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv (physical_variable_type=binary, model_representation_type=binary_passthrough) + analysis/preprocessing/run_preprocessing.py (documented=""Binary field: 0=no documented fetal problem, 1=documented fetal problem"")",False,Canonical 0/1 binary passthrough with an explicit repository-documented numeric-to-meaning mapping (value 1 = documented fetal problem vs value 0 = no documented fetal problem); reference = value 0.
endo_resection_adhesiolysis,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
bowel_lesion_resected,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
endo_resection_ovarian_endometrioma_unilateral,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
height,continuous,1,same_as_physical_numeric,direct,APPROVED,raw_cleaned_column,"APPROVED continuous, raw cm, OR per 5 cm -- LINEAR functional form (final, locked)",CONTINUOUS,,,,cm,cm,5 cm,5.0,,,,LINEAR_FORM_APPROVED,"CLAUDE.md 'Anthropometry / Hb missingness (Data Cleaning B)' (raw cm retained, NaN preserved, no imputation in Data Cleaning B) + FINAL FUNCTIONAL-FORM LOCK (ordinary one-slope logistic association, subject-cluster-robust covariance)",False,"Raw clinical unit; OR reported per 5 cm, one-slope logistic association. LINEAR_FORM_APPROVED (final, locked). FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
AB,count,1,same_as_physical_numeric,direct,APPROVED,raw_cleaned_column,"APPROVED count, OR per 1 pregnancy loss / abortion -- LINEAR functional form (final, locked)",COUNT,,,,count (number of abortions / pregnancy losses),count,1 pregnancy loss / abortion,1.0,,,,LINEAR_FORM_APPROVED,"docs/data_dictionary/clinical_variable_dictionary.yaml (AB: number of abortions / pregnancy losses) + FINAL FUNCTIONAL-FORM LOCK (ordinary one-slope count association, subject-cluster-robust covariance)",False,"Ordinary obstetric-history count; OR reported per 1 pregnancy loss / abortion, one-slope logistic association. The raw count is retained; no cutoff or grouping is created. LINEAR_FORM_APPROVED (final, locked). FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
endo_resection_epiploica,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
endo_resection_uterus,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
SIPET,binary,1,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
meconium_stained_amniotic_fluid,binary,3,binary_passthrough,direct,APPROVED,raw_cleaned_column,"binary passthrough, value 1 vs value 0",BINARY,GENERIC_1_VS_0,value 0,value 1 vs value 0,binary indicator (0/1),code 0/1,n/a,,0,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv: physical_variable_type=binary, model_representation_type=binary_passthrough. This establishes only the canonical 0/1 numeric coding for this predictor -- no predictor-specific repository source establishes which of 0/1 corresponds to a particular clinical meaning (e.g. presence vs. absence) for THIS predictor. binary_passthrough is a machine-representation fact, not a per-predictor clinical-semantics claim.",False,Canonical 0/1 binary passthrough; the statistically valid publication contrast is value 1 vs value 0 with reference = value 0. No clinical present/absent/yes/no label is asserted — no predictor-specific repository source documents which numeric value corresponds to which clinical meaning for this predictor.
gestational_age_at_delivery_days,continuous,3,same_as_physical_numeric,direct,APPROVED,raw_cleaned_column,"APPROVED continuous, raw days -- final inferential representation is a NONLINEAR natural cubic spline (df=3); no single OR (see functional_form_status / spline omnibus p-value)",CONTINUOUS,,,,weeks of gestation (stored as integer days),days,Nonlinear spline (df=3),,,,,NONLINEAR_FORM_APPROVED,"docs/data_dictionary/clinical_variable_dictionary.yaml (gestational_age_at_delivery: weeks + days); stored as integer days in the EDA C matrix + FINAL FUNCTIONAL-FORM LOCK (fixed natural cubic spline, df=3, patsy cr(x, df=3, constraints=""center""); source-level spline omnibus cluster-robust Wald association -- no single OR)",False,"Continuous gestational age; native days. NONLINEAR_FORM_APPROVED (final, locked): final inferential representation is a fixed natural cubic spline (df=3); the source-level result is a spline omnibus cluster-robust Wald p-value, not a per-unit OR -- no single spline-basis coefficient is clinically interpreted. This predictor is Stage 3 / intrapartum-horizon -- any future interpretation must describe it as an association available at the Stage-3 horizon, not a baseline risk factor. FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
weight_before_pregnancy,continuous,1,same_as_physical_numeric,direct,APPROVED,raw_cleaned_column,"APPROVED continuous, raw kg -- final inferential representation is a NONLINEAR natural cubic spline (df=3); no single OR (see functional_form_status / spline omnibus p-value)",CONTINUOUS,,,,kg,kg,Nonlinear spline (df=3),,,,,NONLINEAR_FORM_APPROVED,"CLAUDE.md 'Anthropometry / Hb missingness (Data Cleaning B)' (raw kg retained, NaN preserved, no imputation in Data Cleaning B) + FINAL FUNCTIONAL-FORM LOCK (fixed natural cubic spline, df=3, patsy cr(x, df=3, constraints=""center""); source-level spline omnibus cluster-robust Wald association -- no single OR)",False,"Raw clinical unit (kg). NONLINEAR_FORM_APPROVED (final, locked): final inferential representation is a fixed natural cubic spline (df=3); the source-level result is a spline omnibus cluster-robust Wald p-value, not a per-unit OR -- no single spline-basis coefficient is clinically interpreted. FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
Hb_before_delivery,continuous,2,same_as_physical_numeric,direct,APPROVED,raw_cleaned_column,"APPROVED continuous, raw g/dL, OR per 1 g/dL -- LINEAR functional form (final, locked)",CONTINUOUS,,,,g/dL,g/dL,1 g/dL,1.0,,,,LINEAR_FORM_APPROVED,"CLAUDE.md 'Hb_before_delivery, Hb_after_delivery — in-place cleaning' (cleaned to numeric g/dL; NaN preserved, imputation training-fold-only downstream) + FINAL FUNCTIONAL-FORM LOCK (ordinary one-slope logistic association, subject-cluster-robust covariance)",False,"Numeric g/dL; OR reported per 1 g/dL, one-slope logistic association. LINEAR_FORM_APPROVED (final, locked). FINAL FUNCTIONAL-FORM LOCK (manual, data-informed, exploratory decision): the reporting unit was chosen for clinical interpretability, and the linear-vs-nonlinear functional-form review that followed used the observed study data and outcome -- this is a data-informed exploratory methodological decision, not a prospectively prespecified one. No functional form was selected by an automatic p<0.05 rule and no outcome-derived cutpoint was created. The manual decision weighed cluster-robust Wald evidence, fitted-curve shape, data support, sparsity, clinical plausibility, and parsimony. Inferential findings remain exploratory rather than confirmatory."
weight_in_pregnancy,continuous,2,fold_safe_quantile_categorical,transform_source_only,DESCRIPTIVE_ONLY,fold_safe_transform_source_raw_column,"descriptive only, raw kg — no fixed inferential representation",DESCRIPTIVE_ONLY,,,,"kg (raw, self-reported, non-standardized timing)",kg,n/a,,,,,NOT_APPLICABLE,CLAUDE.md 'weight_in_pregnancy (current)' + Data Cleaning B README (secondary_near_delivery_predictor; approved predictive representation is the fold-safe weight_in_pregnancy_cat quantile categorical fitted training-fold-only) + Representation Sign-off task §6C,False,"Measurement timing is not sufficiently standardized (self-reported, non-standardized timing). The canonical predictive representation is fold-safe / training-fold fitted; those quantile cutpoints are not reused for inference, and no new clinical cutpoint is invented. Raw values remain useful descriptively."
BMI_after,continuous,2,fold_safe_quantile_categorical,transform_source_only,DESCRIPTIVE_ONLY,fold_safe_transform_source_raw_column,"descriptive only, raw kg/m^2 — no fixed inferential representation",DESCRIPTIVE_ONLY,,,,"kg/m^2 (raw, postpartum/discharge-influenced timing)",kg/m^2,n/a,,,,,NOT_APPLICABLE,CLAUDE.md 'BMI_after (current)' + manual_decisions_log.md Decisions 39/40/61/69/86/87/88/89/91 (secondary_near_delivery_predictor; approved predictive representation is the fold-safe BMI_after_cat tertile categorical fitted training-fold-only; no fixed clinical cutpoint documented) + Representation Sign-off task §6D,False,"Near-delivery / postpartum-discharge-influenced timing. The predictive representation uses training-fold cutpoints; no fixed clinical publication cutpoint is justified, and fold-specific tertiles are not reused for inference. Raw values remain descriptive."
gestational_age_at_PPROM_days,continuous,2,fold_safe_pprom_timing_categorical,transform_source_only,DESCRIPTIVE_ONLY,fold_safe_transform_source_raw_column,"descriptive only, raw days — no fixed inferential representation",DESCRIPTIVE_ONLY,,,,days of gestation at PPROM (PPROM subgroup only),days,n/a,,,,,NOT_APPLICABLE,"outputs/eda_c/candidate_model_features.csv (model_entry_mode=transform_source_only, FS_PPROM_TIMING_CAT_V1); structurally observed only in the PPROM subgroup (415/431 rows missing)",False,"Structurally defined only within the PPROM subgroup, so it is not an ordinary whole-cohort fixed predictor. Descriptive information is preserved transparently; it is not entered into the primary whole-cohort univariable association analysis, and the predictive pipeline's fold-safe PPROM-timing categorical is not reused here. A future PPROM-only subgroup analysis is a separate question, out of scope here. KEPT DESCRIPTIVE_ONLY (Representation Sign-off task)."
